agent_id,behaviour_state,mode,species,speed,t,view_x,view_y,view_z,vx,vy,vz,x,y,z
0,base,random,jackal,0.7953000812636482,0.0,,,,0.7503695848387125,-0.13580834771153427,-0.22584020478826747,187.31030165571835,122.54491253140917,0.0
1,base,poi,eagle,0.7,0.0,,,,-0.29241023350432604,0.2646197501279039,0.5783360988077704,197.87132086559916,132.46216861184146,3.4700165928466222
2,base,path_follow,pigeon,0.7,0.0,,,,0.1632435161820224,0.6801294942560672,-0.0278464623878151,3.3982952116465883,32.86035539175632,0.0
3,,external,drone,0.7175893783569336,0.0,0.15016425484414916,-0.8529072027876782,-0.49999999999999994,-0.18543634949729226,-0.6250983150329393,-0.29966643582288055,-15.613426298781429,147.95035139144633,59.280800554025085
4,,external,drone,0.6907740235328674,0.0,-0.8653357336418204,0.034555290225561974,-0.49999999999999994,-0.6084343961766897,0.32006670711823715,0.0673323111988746,317.7826485568101,122.06413055227287,60.161597546877296
5,,external,drone,0.6607716679573059,0.0,-0.7646342242036445,0.4066134567085685,-0.49999999999999994,-0.5431044305031822,-0.08545415548464814,0.3665438064587913,105.89102523235903,-28.75219074206652,60.8797051355011
0,base,random,jackal,0.3123681507534554,0.2,,,,0.28286045687557765,0.13252857631949777,0.0,187.98916675221975,122.86298111457596,0.0
1,base,poi,eagle,0.7,0.2,,,,-0.4480273788061526,-0.5378146283331433,-0.0051858838177397774,195.18315659276223,129.2352808418426,3.4389012899401834
2,base,path_follow,pigeon,0.7,0.2,,,,-0.06147846605919852,0.692035651631155,0.08548131422978125,3.213859813468993,34.93646234664979,0.2564439426893438
3,,external,drone,0.6376544833183289,0.2,0.16874642720353356,-0.8494260670040935,-0.49999999999999994,0.037284748962141415,-0.6050638684578181,-0.19776451319095442,-15.523942901272289,146.49819810714757,58.80616572236679
4,,external,drone,0.7012695670127869,0.2,-0.8658406654623603,0.01788692348329934,-0.49999999999999994,-0.6315789674014638,0.29106337372376606,0.0903832176399006,316.2668590350466,122.7626826492099,60.378517269213056
5,,external,drone,0.6481956243515015,0.2,-0.773832139358424,0.38882363623623084,-0.49999999999999994,-0.5306199296077895,0.3554335357235855,0.11075675787277234,104.61753740130034,-27.899150256329914,61.145521354395754
0,base,random,jackal,0.6711242206863633,0.4,,,,0.2685491213608154,0.6150521026776614,0.0,188.6336846434857,124.33910616100235,0.0
1,base,poi,eagle,0.7,0.4,,,,-0.25986961008346093,-0.618784970815179,-0.19892949919086395,193.62393893226147,125.52257101695153,2.2453242947949996
2,base,path_follow,pigeon,0.7,0.4,,,,-0.5716623567462408,0.3945935171397626,0.0865916053125573,1.4988727432302706,36.12024289806908,0.5162187586270157
3,,external,drone,0.5459463000297546,0.4,0.18454538447229857,-0.8461341507526875,-0.49999999999999994,0.1659649433125785,-0.4920959616336496,-0.16838813690781526,-15.1256270373221,145.3171677992268,58.40203419378803
4,,external,drone,0.7103856801986694,0.4,-0.8660155978187961,-0.004121205473335504,-0.49999999999999994,-0.6459466900851901,0.2776002602360637,0.10167980977649071,314.71658697884214,123.42892327377646,60.622548812676634
5,,external,drone,0.6367250084877014,0.4,-0.7796317832057631,0.3770600517363278,-0.49999999999999994,-0.46183722575732833,0.43830391578089933,0.0038458743568023767,103.50912805948275,-26.847220858455756,61.15475145285208
0,base,random,jackal,0.4473829614467142,0.6000000000000001,,,,0.41668809475127705,0.16285744037465083,0.0,189.63373607088877,124.72996401790151,0.0
1,base,poi,eagle,0.7,0.6000000000000001,,,,-0.6715239944651327,-0.19177151932938113,-0.047741064417263064,189.59479496547067,124.37194190097524,1.9588779082914212
2,base,path_follow,pigeon,0.7,0.6000000000000001,,,,-0.6661219101979309,0.1870685651312041,0.10624007103730733,-0.4994929873635219,36.68144859346269,0.8349389717389377
3,,external,drone,0.4660487473011017,0.6000000000000001,0.18858811334664616,-0.8452422868647503,-0.49999999999999994,0.19719599239838603,-0.3972363281074586,-0.14324271386232998,-14.652356655565974,144.3638006117689,58.05825168051844
4,,external,drone,0.7091385126113892,0.6000000000000001,-0.8655129993341435,-0.029786708170174606,-0.49999999999999994,-0.6565495518318311,0.2517016416527168,0.09201304063795754,313.1408680544458,124.03300721374298,60.84338011020773
5,,external,drone,0.6395399570465088,0.6000000000000001,-0.78339896098592,0.3691694298370075,-0.49999999999999994,-0.46720623766707065,0.4366377609703336,0.008783725795179921,102.38783308908178,-25.799290232126957,61.17583239476051
0,base,random,jackal,0.39317036916473164,0.8,,,,0.3882229663123036,0.062176101653346805,0.0,190.5654711900383,124.87918666186954,0.0
1,base,poi,eagle,0.7,0.8,,,,-0.5831941133522347,-0.011630882094615698,-0.3869746099332642,186.09563028535726,124.30215660840754,0.0
2,base,path_follow,pigeon,0.7,0.8,,,,-0.6604807541591845,0.16192764321558423,0.1659656944912451,-2.4809352498410755,37.16723152310944,1.332836055212673
3,,external,drone,0.41050079464912415,0.8,0.17929420231040633,-0.8472624085948078,-0.49999999999999983,0.19219096738595445,-0.3403520125053987,-0.12543540985837426,-14.191098333839683,143.54695578175594,57.75720669685834
4,,external,drone,0.7259373664855957,0.8,-0.8643375813275141,-0.054042071619276856,-0.49999999999999994,-0.679342204902829,0.23723110520750795,0.09591992191317225,311.510446762679,124.602361866241,61.07358792279935
5,,external,drone,0.6448248624801636,0.8,-0.7863511564440254,0.3628386125526665,-0.49999999999999994,-0.47309288661924,0.43781804840113164,0.017250518747596026,101.2524101611956,-24.74852691596424,61.217233639754745
