config,run_name,eval_name
LPOI_SPEEDRATIO_04,LPOI_SPEEDRATIO_04_seed42_2026-03-16_07-08-40,LPOI_SPEEDRATIO_04_seed42_2026-03-16_08-14-31
LPOI_SPEEDRATIO_02,LPOI_SPEEDRATIO_02_seed42_2026-03-16_07-08-42,LPOI_SPEEDRATIO_02_seed42_2026-03-16_08-15-33
