config,run_name,eval_name
LPOI_SPEEDRATIO_06,LPOI_SPEEDRATIO_06_seed42_2026-03-16_08-22-38,LPOI_SPEEDRATIO_06_seed42_2026-03-16_09-50-13
LPOI_SPEEDRATIO_10,LPOI_SPEEDRATIO_10_seed42_2026-03-16_08-22-38,LPOI_SPEEDRATIO_10_seed42_2026-03-16_09-50-46
LPOI_SPEEDRATIO_08,LPOI_SPEEDRATIO_08_seed42_2026-03-16_08-22-38,LPOI_SPEEDRATIO_08_seed42_2026-03-16_09-53-51
