episode,step,entity,x,y,z,yaw,reward,monitor_rew,dist_rew
1,0,PIGEON,1.3461856039544076,-0.6616527168702215,0.0,0,0,0,0
1,0,DRONE,15.0762284494327,-10.584529871335665,21.633663177490234,-0.258296400308609,-0.09039647756223633,0.0,0.09039647756223633
1,1,PIGEON,3.5119025802863604,-0.09973016425619863,0.0,0,0,0,0
1,1,DRONE,19.437730143158284,-7.154909128537813,23.26732635498047,-0.516592800617218,0.2521421329242264,0.3239590612395779,0.07181692831535154
1,2,PIGEON,5.112995552756303,-1.0530610678386283,0.0,0,0,0,0
1,2,DRONE,28.85425312289461,-4.0101602023750935,23.73271942138672,-0.6001287698745728,0.5105700798355433,0.5697110190229272,0.059140939187383966
1,3,PIGEON,7.792666155614362,-2.7570226437092655,0.0,0,0,0,0
1,3,DRONE,38.27077610263094,-0.8654112762123738,24.19811248779297,-0.6836647391319275,0.5627707654235614,0.6062175796719379,0.04344681424837652
1,4,PIGEON,9.152128951632832,-3.221574775151983,0.0,0,0,0,0
1,4,DRONE,47.68729908236727,2.279337649950346,24.66350555419922,-0.7672007083892822,0.49900334748187913,0.5271321919513507,0.028128844469471597
1,5,PIGEON,11.862714844958461,-3.836203273357831,0.0,0,0,0,0
1,5,DRONE,57.103822062103596,5.424086576113066,25.12889862060547,-0.850736677646637,0.40444381292766735,0.42194879782471234,0.017504984897044995
1,6,PIGEON,12.884276570724209,-3.900110706018963,0.0,0,0,0,0
1,6,DRONE,66.52034504183993,8.568835502275785,25.59429168701172,-0.9342726469039917,0.29583747336210425,0.30116868953744247,0.005331216175338237
1,7,PIGEON,15.274085724113979,-4.254129082155686,0.0,0,0,0,0
1,7,DRONE,75.93686802157626,11.713584428438505,26.05968475341797,-1.0178086757659912,0.19673555375639262,0.19684510312415668,0.00010954936776405038
1,8,PIGEON,16.072711768419083,-3.9234773995526915,0.0,0,0,0,0
1,8,DRONE,85.35339100131259,14.858333354601225,26.52507781982422,-1.1013447046279907,0.10688114324872112,0.10688114324872112,0.0
1,9,PIGEON,17.984818153937027,-2.717082538550472,0.0,0,0,0,0
1,9,DRONE,94.76991398104892,18.003082280763945,26.99047088623047,-1.1848807334899902,0.04800030694984409,0.04800030694984409,0.0
1,10,PIGEON,19.84031808268204,-0.13737880066807406,0.0,0,0,0,0
1,10,DRONE,104.18643696078524,21.147831206926664,27.45586395263672,-1.2684167623519897,0.014020980974500434,0.014020980974500434,0.0
1,11,PIGEON,21.885391234977618,0.7320176346219569,0.0,0,0,0,0
1,11,DRONE,113.60295994052157,24.292580133089384,27.92125701904297,-1.3519527912139893,0.0,0.0,0.0
1,12,PIGEON,22.480904975188704,2.351041980086362,0.0,0,0,0,0
1,12,DRONE,117.96446163424716,27.722200875887236,29.554920196533203,-1.6102491617202759,0.0,0.0,0.0
1,13,PIGEON,22.34794854491151,2.465573990175487,0.0,0,0,0,0
1,13,DRONE,122.32596332797274,31.151821618685087,31.188583374023438,-1.8685455322265625,0.0,0.0,0.0
1,14,PIGEON,21.116523532515554,3.57561869018935,0.0,0,0,0,0
1,14,DRONE,126.68746502169833,34.58144236148294,32.82224655151367,-2.1268420219421387,0.0,0.0,0.0
1,15,PIGEON,18.833465533635984,5.507344585927473,0.0,0,0,0,0
1,15,DRONE,131.04896671542392,38.011063104280794,34.455909729003906,-2.385138511657715,0.0,0.0,0.0
1,16,PIGEON,18.278242672284943,7.283471321381464,0.0,0,0,0,0
1,16,DRONE,135.4104684091495,41.440683847078645,36.08957290649414,-2.643435001373291,0.0,0.0,0.0
1,17,PIGEON,17.49971093268113,7.408128816793496,0.0,0,0,0,0
1,17,DRONE,139.7719701028751,44.8703045898765,37.723236083984375,-2.901731491088867,0.0,0.0,0.0
1,18,PIGEON,15.968399541797442,8.769339818790389,0.0,0,0,0,0
1,18,DRONE,144.13347179660067,48.29992533267435,39.35689926147461,-3.1600279808044434,0.0,0.0,0.0
1,19,PIGEON,13.199364329791976,10.556143593256861,0.0,0,0,0,0
1,19,DRONE,148.49497349032626,51.7295460754722,40.990562438964844,-3.4183244705200195,0.0,0.0,0.0
1,20,PIGEON,11.692048389569798,13.295698797046484,0.0,0,0,0,0
1,20,DRONE,152.85647518405185,55.15916681827005,42.62422561645508,-3.6766209602355957,0.0,0.0,0.0
1,21,PIGEON,11.096756811999935,17.05375092265691,0.0,0,0,0,0
1,21,DRONE,157.21797687777743,58.5887875610679,44.25788879394531,-3.934917449951172,0.0,0.0,0.0
1,22,PIGEON,11.953008949658644,20.994831862241988,0.0,0,0,0,0
1,22,DRONE,161.57947857150302,62.018408303865755,45.89155197143555,-4.193213939666748,0.0,0.0,0.0
1,23,PIGEON,11.481591277406594,23.70077842223991,0.0,0,0,0,0
1,23,DRONE,165.9409802652286,65.4480290466636,47.52521514892578,-4.451510429382324,0.0,0.0,0.0
1,24,PIGEON,10.620078376903116,24.701270121267026,0.0,0,0,0,0
1,24,DRONE,170.3024819589542,68.87764978946146,49.158878326416016,-4.7098069190979,0.0,0.0,0.0
1,25,PIGEON,9.902944678223799,24.10284324536797,0.0,0,0,0,0
1,25,DRONE,174.66398365267978,72.30727053225931,50.79254150390625,-4.968103408813477,0.0,0.0,0.0
1,26,PIGEON,7.825367475224204,24.010271028869692,0.0,0,0,0,0
1,26,DRONE,179.02548534640536,75.73689127505716,52.426204681396484,-5.226399898529053,0.0,0.0,0.0
1,27,PIGEON,6.43880033798501,22.50693238422133,0.0,0,0,0,0
1,27,DRONE,183.38698704013095,79.16651201785501,54.05986785888672,-5.484696388244629,0.0,0.0,0.0
